country,channel,businessunit,region,score,level_1,level_2,level_3,level_4,level_5
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '0-140','segment_brand_ps' : 'REST',"'price_tier_ps' : 'Tier4,Tier3,Tier2'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '0-140','segment_brand_ps' : 'REST',"'price_tier_ps' : 'Tier5,Tier1'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '0-140',"'segment_brand_ps' : 'GAMESA MARIAS,CRACKETS'",'price_tier_ps' : 'Tier4'
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '0-140',"'segment_brand_ps' : 'GAMESA MARIAS,CRACKETS'",'price_tier_ps' : 'Tier5'
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '140+',"'segment_brand_ps' : 'GAMESA MARIAS,CRACKETS'","'price_tier_ps' : 'Tier2,Tier4'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '140+',"'segment_brand_ps' : 'GAMESA MARIAS,CRACKETS'","'price_tier_ps' : 'Tier1,Tier5,Tier3'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '140+','segment_brand_ps' : 'REST',"'price_tier_ps' : 'Tier1,Tier3,Tier4'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '140+','segment_brand_ps' : 'REST','price_tier_ps' : 'Tier5'
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food',"'segment_ps' : 'CKY-MARIAS,CKY-TRAD,REST,CRK-IN-HOME'",'packsize_ps' : '140+','segment_brand_ps' : 'REST','price_tier_ps' : 'Tier2'
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food','segment_ps' : 'CKY-OTHER','packsize_ps' : '140+','segment_brand_ps' : 'REST',"'price_tier_ps' : 'Tier5,Tier1'"
MEXICO,CSTORE,BISCUITS,ALL,0.91,'consumptionclustercode' : 'Food','segment_ps' : 'CKY-OTHER','packsize_ps' : '140+','segment_brand_ps' : 'REST','price_tier_ps' : 'Tier3'
